site,spec,size,range,NOH,morph
1,Acinonyx_jubatus,1.67,6.43,1,0
2,Arctodus_simus,1.98,4.78,0,1
3,Ailurus_fulgens,0.67,5.67,0.3,0
4,Aonyx_capensis,1.28,7.08,1.38,0
5,Aonyx_cinerea,0.61,6.68,1.46,0
6,Arctictis_binturong,1.33,6.49,0.6,0
7,Arctogalidia_trivirgata,0.36,6.44,0.48,0
8,Arctonyx_collaris,1.02,6.38,1,0
9,Atelocynus_microtis,0.92,6.52,0.7,0
10,Atilax_paludinosus,0.6,7.13,1,0
11,Bassaricyon_alleni,0.08,6.64,0.3,0
12,Bassaricyon_gabbii,0.08,5.15,0.3,0
13,Bassariscus_astutus,0.08,6.32,1.04,0
14,Bassariscus_sumichrasti,0.08,5.84,0.48,0
15,Bdeogale_crassicauda,0.23,6.14,0.3,0
16,Bdeogale_jacksoni,0.4,4.99,0.3,0
17,Bdeogale_nigripes,0.3,6.3,0,0
18,Canis_adustus,1.01,6.99,0.9,0
19,Canis_aureus,1.04,7.01,0.95,0
20,Canis_latrans,1.14,7.22,1.08,0
21,Canis_lupus,1.67,7.13,1.2,1
22,Canis_mesomelas,0.9,6.74,1,0
23,Canis_simensis,1.15,4.99,0.6,0
24,Caracal_caracal,1.69,7.23,0.85,0
25,Catopuma_badia,0.54,5.52,0.48,0
26,Catopuma_temminckii,0.89,6.63,0.95,0
27,Cerdocyon_thous,0.76,6.93,1.15,0
28,Chrotogale_owstoni,0.53,5.44,0.6,0
29,Chrysocyon_brachyurus,1.36,6.61,1.04,0
30,Civettictis_civetta,1.13,7.14,1.15,0
31,Conepatus_chinga,0.53,6.73,0.6,0
32,Conepatus_humboldtii,0.04,5.87,0.7,0
33,Conepatus_leuconotus,0.45,6.4,0.78,0
34,Conepatus_semistriatus,0.3,6.18,0.48,0
35,Crocuta_crocuta,1.71,7.15,0.6,1
36,Crossarchus_alexandri,0.18,6.13,0.3,0
37,Crossarchus_ansorgei,-0.15,5.73,0,0
38,Crossarchus_obscurus,-0.1,5.65,0.48,0
39,Crossarchus_platycephalus,0,5.78,0.78,0
40,Cryptoprocta_ferox,0.98,5.63,0.48,0
41,Cuon_alpinus,1.24,6.51,0.95,0
42,Cynictis_penicillata,-0.35,6.36,0.6,0
43,Cynogale_bennettii,0.6,6.01,0.78,0
44,Diplogale_hosei,0.15,5.15,0.3,0
45,Dologale_dybowskii,-0.4,5.61,0.6,0
46,Eira_barbara,0.69,7.11,0.7,0
47,Enhydra_lutris,1.45,6.27,0.9,0
48,Eupleres_goudotii,0.26,5.17,0.7,0
49,Felis_bieti,0.74,5.96,0.6,0
50,Felis_chaus,0.95,6.92,1.15,0
51,Felis_manul,0.54,6.85,0.7,0
52,Felis_margarita,0.45,6.72,0,0
53,Felis_nigripes,0.2,6.25,0.48,0
54,Felis_silvestris,0.72,6.37,1.04,0
55,Fossa_fossana,0.24,5.28,0.48,0
56,Galerella_flavescens,-0.22,5.37,0.3,0
57,Galerella_ochracea,-0.22,5.79,0.3,0
58,Galerella_pulverulenta,-0.1,5.84,0.6,0
59,Galerella_sanguinea,-0.3,7.18,0.9,0
60,Galictis_cuja,0,6.86,0.78,0
61,Galictis_vittata,0.3,6.96,0.6,0
62,Galidia_elegans,-0.1,5.34,0.7,0
63,Galidictis_fasciata,-0.22,5.25,0.3,0
64,Galidictis_grandidieri,-0.22,3.87,0.3,0
65,Genetta_abyssinica,0.18,5.69,0.6,0
66,Genetta_angolensis,0.28,6.12,0,0
